chr	pos	Hypo.pos	EM.pos	Hyper.pos	max.p	mCstatus	meanDiff	DM.status	index	meanCov.test	meanCov.control
chr1	703263	0	0.4333	0.5667	0.5667	1	0.3635	1	25	16	7
chr1	795361	0	0.1333	0.8667	0.8667	1	0.4652	1	74	69	70.25
chr1	795363	0	0.0667	0.9333	0.9333	1	0.503	1	75	67.25	66.5
chr1	841778	0	0.3	0.7	0.7	1	0.4799	1	150	27.5	30
chr1	848868	0	0.1333	0.8667	0.8667	1	0.3758	1	161	25.5	31
chr1	848873	0	0.0667	0.9333	0.9333	1	0.4785	1	162	24.75	30.25
chr1	851081	0	0.0333	0.9667	0.9667	1	0.6253	1	252	5.5	8.75
chr1	851104	0	0.2667	0.7333	0.7333	1	0.7374	1	253	5.5	9
chr1	858338	0	0.1	0.9	0.9	1	0.5268	1	273	22.25	12
chr1	858368	0.0333	0.0333	0.9333	0.9333	1	0.599	1	274	22.25	12
chr1	858379	0	0.1333	0.8667	0.8667	1	0.5839	1	275	18.5	10.25
chr1	923518	0.0333	0.0667	0.9	0.9	1	0.4265	1	709	38	34.25
chr1	923535	0	0	1	1	1	0.39	1	710	38	34.5
chr1	923545	0	0	1	1	1	0.5092	1	711	30	26.75
chr1	923548	0	0.0333	0.9667	0.9667	1	0.442	1	712	26	25.75
chr1	923554	0	0	1	1	1	0.4262	1	713	22.75	22.25
chr1	923560	0	0	1	1	1	0.4204	1	714	21	21
chr1	923563	0	0	1	1	1	0.5221	1	715	20.75	20.75
chr1	923575	0	0	1	1	1	0.3863	1	716	16.5	30.5
chr1	923582	0	0	1	1	1	0.4686	1	717	16.5	30.5
chr1	923601	0	0	1	1	1	0.4194	1	718	16.5	30
chr1	923607	0	0	1	1	1	0.5194	1	719	16.25	29.5
chr1	923609	0	0.4	0.6	0.6	1	0.4485	1	720	16.25	29.5
chr1	923611	0	0.4333	0.5667	0.5667	1	0.4334	1	721	15.75	29.25
chr1	923850	0	0.4667	0.5333	0.5333	1	0.479	1	728	19	28.75
chr1	923875	0	0.3333	0.6667	0.6667	1	0.5092	1	729	19	28.5
chr1	992527	0	0.2	0.8	0.8	1	0.3201	1	1248	43.25	29.75
chr1	992530	0	0	1	1	1	0.504	1	1249	36.25	26
chr1	993147	0	0.1333	0.8667	0.8667	1	0.4986	1	1250	101.5	80
chr1	993162	0	0.2667	0.7333	0.7333	1	0.4702	1	1251	101.75	80.75
chr1	993166	0	0.3	0.7	0.7	1	0.502	1	1252	101.75	80.75
chr1	993178	0	0.4333	0.5667	0.5667	1	0.513	1	1253	100.75	79.25
chr1	993180	0	0.4	0.6	0.6	1	0.5042	1	1254	100.25	78.25
chr1	995053	0	0.0333	0.9667	0.9667	1	0.6325	1	1277	70.5	53.75
chr1	997296	0	0.3333	0.6667	0.6667	1	0.4625	1	1292	12.25	11.25
chr1	997300	0	0.2667	0.7333	0.7333	1	0.3142	1	1293	12.25	11.25
chr1	997479	0	0.1333	0.8667	0.8667	1	0.5109	1	1304	8.25	25
chr1	997482	0	0	1	1	1	0.6572	1	1305	8	23.5
chr1	997486	0	0.2667	0.7333	0.7333	1	0.3992	1	1306	8	23.5
chr1	997491	0	0.3	0.7	0.7	1	0.3905	1	1307	8	23.5
chr1	997495	0	0.4333	0.5667	0.5667	1	0.3674	1	1308	8	23.5
chr1	997716	0	0.0667	0.9333	0.9333	1	0.4133	1	1309	17.25	14.75
chr1	997720	0	0	1	1	1	0.5539	1	1310	17.25	14.75
chr1	997741	0	0	1	1	1	0.5256	1	1311	17	14.5
chr1	997760	0	0	1	1	1	0.42	1	1312	136.75	67.5
chr1	997763	0	0	1	1	1	0.4917	1	1313	129	60.75
chr1	997780	0	0	1	1	1	0.5204	1	1314	129.25	60.75
chr1	997804	0	0	1	1	1	0.534	1	1315	70.75	40.25
chr1	997954	0	0	1	1	1	0.8474	1	1316	4.5	4
chr1	997982	0	0.1333	0.8667	0.8667	1	0.3532	1	1317	4.5	4
chr1	998057	0	0	1	1	1	0.6742	1	1318	100.25	58.25
chr1	998070	0	0.0333	0.9667	0.9667	1	0.3182	1	1319	100.25	58.75
chr1	998094	0	0.0333	0.9667	0.9667	1	0.4871	1	1320	81.25	43.25
chr1	998098	0	0.0333	0.9667	0.9667	1	0.4898	1	1321	74.25	41
chr1	1048521	0	0.2667	0.7333	0.7333	1	0.4884	1	1572	8.75	11.25
chr1	1050334	0	0	1	1	1	0.5986	1	1573	69.5	57.25
chr1	1050355	0	0	1	1	1	0.6437	1	1574	71.5	58
chr1	1050367	0	0	1	1	1	0.5495	1	1575	68	57
chr1	1050374	0.0667	0.1667	0.7667	0.7667	1	0.4116	1	1576	59.25	54
chr1	1058351	0	0.3667	0.6333	0.6333	1	0.3862	1	1597	94.5	71.75
chr1	1061913	0	0.3	0.7	0.7	1	0.3752	1	1604	13.25	12
chr1	1061918	0	0.0667	0.9333	0.9333	1	0.3824	1	1605	12	11.25
chr1	1061937	0	0.0333	0.9667	0.9667	1	0.622	1	1606	9.75	10
chr1	1061991	0	0.1	0.9	0.9	1	0.5	1	1607	2	4
chr1	1062006	0	0.1	0.9	0.9	1	0.675	1	1608	2.25	4
chr1	1062332	0	0.0667	0.9333	0.9333	1	0.4087	1	1609	40	65.5
chr1	1062341	0	0.0333	0.9667	0.9667	1	0.3876	1	1610	40.25	65.5
chr1	1062348	0	0	1	1	1	0.6286	1	1611	40.25	65.5
chr1	1062357	0	0	1	1	1	0.5604	1	1612	40	65
chr1	1062359	0	0	1	1	1	0.5916	1	1613	39.75	65
chr1	1062371	0	0	1	1	1	0.4752	1	1614	17.75	52
chr1	1062377	0	0.1	0.9	0.9	1	0.3637	1	1615	55.75	72.25
chr1	1062385	0	0.1	0.9	0.9	1	0.3335	1	1616	44.75	30
chr1	1062415	0	0.1333	0.8667	0.8667	1	0.434	1	1617	41.75	23.5
