chr	pos	Hypo.pos	EM.pos	Hyper.pos	max.p	mCstatus	meanDiff	DM.status	index	meanCov.test	meanCov.control
chr1	497	0	0.9667	0.0333	0.9667	0	0.0661	0	1	126.25	158.5
chr1	525	0	1	0	1	0	0.0069	0	2	126.75	159.5
chr1	542	0	1	0	1	0	0.0162	0	3	113.75	138.5
chr1	126983	0	1	0	1	0	0.0255	0	4	32.75	42.75
chr1	127020	0	1	0	1	0	0.0177	0	5	33	42.75
chr1	127032	0	1	0	1	0	-0.0881	0	6	28.75	34
chr1	535890	0	1	0	1	0	-0.0012	0	7	109.5	85.5
chr1	535893	0	1	0	1	0	-0.0161	0	8	109.75	85.75
chr1	535897	0	1	0	1	0	0.0158	0	9	109.75	85.75
chr1	535899	0	1	0	1	0	0	0	10	109.75	85.75
chr1	535921	0	1	0	1	0	0.002	0	11	109.25	85.25
chr1	535924	0	1	0	1	0	-0.0206	0	12	109	85.25
chr1	535958	0	1	0	1	0	0	0	13	62.5	78.25
chr1	535961	0	1	0	1	0	-0.0089	0	14	62.5	78.25
chr1	535965	0	1	0	1	0	0.0252	0	15	62.5	78.25
chr1	535989	0	1	0	1	0	0.0599	0	16	62.25	77.5
chr1	535992	0	1	0	1	0	0.0263	0	17	62.5	77.25
chr1	652520	0	1	0	1	0	9e-04	0	18	74.75	78.25
chr1	652541	0	1	0	1	0	-0.0499	0	19	75.5	78.5
chr1	652555	0	1	0	1	0	0.03	0	20	75.5	78.5
chr1	652557	0	1	0	1	0	0.0547	0	21	75.5	78
chr1	652569	0	1	0	1	0	-0.0105	0	22	58.5	61
chr1	703239	0	0.9	0.1	0.9	0	0.3541	0	23	15.75	7
chr1	703251	0	0.7667	0.2333	0.7667	0	0.2736	0	24	16	7
chr1	703263	0	0.4333	0.5667	0.5667	1	0.3635	1	25	16	7
chr1	704117	0	1	0	1	0	0.0083	0	26	21.5	24.5
chr1	704121	0	1	0	1	0	0	0	27	21.5	24.5
