chr	start	end	len	DM	num.CG	total.CG	meanCov.test	meanCov.control	meanDiff.mC	meanPost
chr1	703263	703263	1	hyper	1	1	16	7	0.3635	0.5667
chr1	795361	795363	3	hyper	2	2	68.12	68.38	0.4841	0.9
chr1	841778	841778	1	hyper	1	1	27.5	30	0.4799	0.7
chr1	848868	848873	6	hyper	2	2	25.12	30.62	0.4272	0.9
chr1	851081	851104	24	hyper	2	2	5.5	8.88	0.6814	0.85
chr1	858338	858379	42	hyper	3	3	21	11.42	0.5699	0.9
chr1	923518	923611	94	hyper	13	13	22.63	28.04	0.4471	0.9256
chr1	923850	923875	26	hyper	2	2	19	28.62	0.4941	0.6
chr1	992527	992530	4	hyper	2	2	39.75	27.88	0.412	0.9
chr1	993147	993180	34	hyper	5	5	101.2	79.8	0.4976	0.6933
chr1	995053	995053	1	hyper	1	1	70.5	53.75	0.6325	0.9667
chr1	997296	997300	5	hyper	2	2	12.25	11.25	0.3883	0.7
chr1	997479	997495	17	hyper	5	5	8.05	23.8	0.465	0.7733
chr1	997716	997804	89	hyper	7	7	73.89	39.04	0.4941	0.9905
chr1	997954	998098	145	hyper	6	7	60.83	34.88	0.5283	0.9611
chr1	1048521	1048521	1	hyper	1	1	8.75	11.25	0.4884	0.7333
chr1	1050334	1050374	41	hyper	4	4	67.06	56.56	0.5509	0.9417
chr1	1058351	1058351	1	hyper	1	1	94.5	71.75	0.3862	0.6333
chr1	1061913	1062006	94	hyper	5	7	7.85	8.25	0.5109	0.88
chr1	1062332	1062420	89	hyper	10	10	40.05	52.48	0.456	0.93
chr1	1062554	1062569	16	hyper	3	3	43.25	42	0.3731	0.7667
chr1	1062709	1062709	1	hyper	1	1	34.5	31.5	0.3567	0.5667
chr1	1063404	1063404	1	hyper	1	1	62.75	38.75	0.6428	1
chr1	1088421	1088441	21	hyper	3	3	46.33	36.25	0.5621	0.7778
chr1	1088650	1088675	26	hyper	2	2	20.25	20.12	0.5839	0.65
chr1	1089002	1089108	107	hyper	7	7	81.61	51.21	0.5757	0.7762
chr1	1089194	1089294	101	hyper	6	7	65.79	38.79	0.5265	0.6944
chr1	1089898	1089940	43	hyper	5	5	73.85	52.1	0.5111	0.6133
chr1	1090719	1090729	11	hyper	2	2	126	83.88	0.4602	0.9667
chr1	1090869	1090910	42	hyper	2	2	50.5	50.5	0.6055	0.9667
chr1	1091107	1091165	59	hyper	2	2	88.75	64.62	0.4411	0.8167
chr1	1091205	1091211	7	hyper	2	2	89.5	56	0.365	0.6
chr1	1131422	1131422	1	hyper	1	1	15.75	10.75	0.6143	0.9667
chr1	1131676	1131676	1	hyper	1	1	36.5	43.75	0.5158	0.5
chr1	1131686	1131686	1	hyper	1	1	36.5	43.75	0.3843	0.5333
chr1	1162876	1162906	31	hyper	2	2	48.25	41.38	0.4758	0.6833
chr1	1165105	1165105	1	hyper	1	1	66	51.75	0.3229	0.7667
chr1	1165248	1165248	1	hyper	1	1	6.5	3.25	0.302	0.6
chr1	1215761	1215761	1	hyper	1	1	17	18.5	0.5802	0.7
chr1	1216074	1216074	1	hyper	1	1	23.75	14.75	0.3422	0.6333
chr1	1216989	1217001	13	hyper	3	3	8.75	21	0.6418	0.6444
chr1	1217316	1217316	1	hyper	1	1	42.25	45.25	0.4524	0.7333
chr1	1217350	1217350	1	hyper	1	1	39	43	0.404	0.5333
chr1	1352818	1352855	38	hyper	9	9	31.56	28.42	0.5326	0.837
chr1	1353070	1353072	3	hyper	2	2	3.25	5.75	0.4177	0.55
chr1	1353099	1353148	50	hyper	6	6	24.25	29.88	0.5178	0.8778
chr1	1831132	1831139	8	hyper	2	2	40.75	44	0.534	0.7166
chr1	1831205	1831205	1	hyper	1	1	6	6.25	0.5472	0.6
chr1	1940767	1940782	16	hyper	4	4	8.44	11.38	0.5461	0.925
chr1	1940967	1941003	37	hyper	7	7	20.46	36.82	0.5046	0.9524
chr1	1941012	1941070	59	hyper	7	7	18.57	35.25	0.4332	0.9524
chr1	1966085	1966100	16	hyper	2	2	87.38	93.12	0.3568	0.7834
chr1	1972863	1972932	70	hyper	5	5	27.55	34.4	0.4968	0.9733
chr1	1973023	1973045	23	hyper	2	2	38.38	38	0.4592	0.8666
chr1	2006602	2006602	1	hyper	1	1	25.25	36	0.4005	0.6
chr1	2026513	2026522	10	hyper	2	2	25.12	33.5	0.4839	0.65
chr1	2111590	2111590	1	hyper	1	1	23.75	42	0.3886	0.5667
chr1	2112283	2112283	1	hyper	1	1	9.75	7.75	0.503	0.7
chr1	2236722	2236724	3	hyper	2	2	8.38	12.12	0.486	0.7834
chr1	2253450	2253450	1	hyper	1	1	41.5	61	0.5486	0.7667
chr1	2314274	2314274	1	hyper	1	1	71.5	99.25	0.4924	0.6667
chr1	2364826	2364834	9	hyper	2	2	103.25	116.75	0.455	0.6166
chr1	1133614	1133622	9	hypo	2	2	24.38	11.5	-0.4337	0.5334
chr1	1864765	1864765	1	hypo	1	1	24	15	-0.5382	0.7333
chr1	1949046	1949046	1	hypo	1	1	29.5	28.5	-0.3936	0.7333
chr1	1949167	1949167	1	hypo	1	1	63	58.75	-0.3736	0.5667
chr1	1951832	1951832	1	hypo	1	1	42.5	55	-0.3587	0.6667
chr1	2155382	2155382	1	hypo	1	1	24.75	40.5	-0.4424	0.8333
chr1	2243645	2243744	100	hypo	8	9	26.12	26.69	-0.4816	0.8875
chr1	2260304	2260304	1	hypo	1	1	28.5	23.25	-0.547	0.8667
chr1	2373065	2373081	17	hypo	2	2	15	21.88	-0.5836	0.8166
